10:49:58.288 ERROR vert.x-eventloop-thread-0 ConnectionBase       : java.io.IOException: Se ha forzado la interrupción de una conexión existente por el host remoto
10:50:09.803 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|11328ms
10:50:09.803 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:09.815 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|11341ms
10:50:09.816 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:09.864 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|11391ms
10:50:09.867 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:09.937 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|11462ms
10:50:09.938 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:09.984 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|11509ms
10:50:09.984 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:10.015 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|11540ms
10:50:10.015 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:10.085 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|11610ms
10:50:10.086 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:10.086 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|11611ms
10:50:10.087 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:10.199 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|11724ms
10:50:10.201 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:10.327 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|11852ms
10:50:10.328 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:10.345 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|11870ms
10:50:10.346 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:10.452 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|11976ms
10:50:10.452 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:10.483 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|12007ms
10:50:10.483 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:10.585 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|12109ms
10:50:10.585 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:10.673 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|12197ms
10:50:10.677 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:10.698 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|12221ms
10:50:10.698 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:10.708 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|12231ms
10:50:10.708 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:10.777 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|12300ms
10:50:10.778 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:10.873 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|12396ms
10:50:10.875 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:10.911 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|12434ms
10:50:10.912 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:10.944 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|12467ms
10:50:10.945 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
